Year,State,State_Code,Deaths,Pop,Crude_Rate
1999,Alabama,01,790,4430141,17.8
1999,Alaska,02,88,624779,14.1
1999,Arizona,04,822,5023823,16.4
1999,Arkansas,05,388,2651860,14.6
1999,California,06,3054,33499204,9.1
1999,Colorado,08,452,4226018,10.7
1999,Connecticut,09,199,3386401,5.9
1999,Delaware,10,68,774990,8.8
1999,District of Columbia,11,163,570213,28.6
1999,Florida,12,1721,15759421,10.9
1999,Georgia,13,1105,8045965,13.7
1999,Hawaii,15,42,1210300,3.5
1999,Idaho,16,151,1275674,11.8
1999,Illinois,17,1209,12359020,9.8
1999,Indiana,18,680,6044969,11.2
1999,Iowa,19,202,2917634,6.9
1999,Kansas,20,269,2678338,10
1999,Kentucky,21,525,4018053,13.1
1999,Louisiana,22,779,4460811,17.5
1999,Maine,23,113,1266808,8.9
1999,Maryland,24,657,5254509,12.5
1999,Massachusetts,25,195,6317345,3.1
1999,Michigan,26,1085,9897116,11
1999,Minnesota,27,296,4873481,6.1
1999,Mississippi,28,515,2828408,18.2
1999,Missouri,29,711,5561948,12.8
1999,Montana,30,123,897507,13.7
1999,Nebraska,31,146,1704764,8.6
1999,Nevada,32,375,1934718,19.4
1999,New Hampshire,33,71,1222014,5.8
1999,New Jersey,34,366,8359592,4.4
1999,New Mexico,35,290,1808082,16
1999,New York,36,1016,18882725,5.4
1999,North Carolina,37,1057,7949361,13.3
1999,North Dakota,38,49,644259,7.6
1999,Ohio,39,939,11335454,8.3
1999,Oklahoma,40,509,3437147,14.8
1999,Oregon,41,389,3393941,11.5
1999,Pennsylvania,42,1190,12263805,9.7
1999,Rhode Island,44,56,1040402,5.4
1999,South Carolina,45,552,3974682,13.9
1999,South Dakota,46,73,750412,9.7
1999,Tennessee,47,848,5638706,15
1999,Texas,48,2117,20558220,10.3
1999,Utah,49,192,2203482,8.7
1999,Vermont,50,57,604683,9.4
1999,Virginia,51,823,7000174,11.8
1999,Washington,53,585,5842564,10
1999,West Virginia,54,250,1811799,13.8
1999,Wisconsin,55,448,5332666,8.4
1999,Wyoming,56,74,491780,15
2000,Alabama,01,766,4447100,17.2
2000,Alaska,02,116,626932,18.5
2000,Arizona,04,796,5130632,15.5
2000,Arkansas,05,416,2673400,15.6
2000,California,06,3108,33871648,9.2
2000,Colorado,08,443,4301261,10.3
2000,Connecticut,09,179,3405565,5.3
2000,Delaware,10,52,783600,6.6
2000,District of Columbia,11,149,572059,26
2000,Florida,12,1692,15982378,10.6
2000,Georgia,13,1096,8186453,13.4
2000,Hawaii,15,52,1211537,4.3
2000,Idaho,16,127,1293953,9.8
2000,Illinois,17,1130,12419293,9.1
2000,Indiana,18,666,6080485,11
2000,Iowa,19,190,2926324,6.5
2000,Kansas,20,299,2688418,11.1
2000,Kentucky,21,542,4041769,13.4
2000,Louisiana,22,790,4468976,17.7
2000,Maine,23,112,1274923,8.8
2000,Maryland,24,617,5296486,11.6
2000,Massachusetts,25,176,6349097,2.8
2000,Michigan,26,1071,9938444,10.8
2000,Minnesota,27,312,4919479,6.3
2000,Mississippi,28,471,2844658,16.6
2000,Missouri,29,742,5595211,13.3
2000,Montana,30,134,902195,14.9
2000,Nebraska,31,168,1711263,9.8
2000,Nevada,32,341,1998257,17.1
2000,New Hampshire,33,79,1235786,6.4
2000,New Jersey,34,341,8414350,4.1
2000,New Mexico,35,291,1819046,16
2000,New York,36,1093,18976457,5.8
2000,North Carolina,37,1113,8049313,13.8
2000,North Dakota,38,43,642200,6.7
2000,Ohio,39,890,11353140,7.8
2000,Oklahoma,40,454,3450654,13.2
2000,Oregon,41,378,3421399,11
2000,Pennsylvania,42,1256,12281054,10.2
2000,Rhode Island,44,54,1048319,5.2
2000,South Carolina,45,499,4012012,12.4
2000,South Dakota,46,56,754844,7.4
2000,Tennessee,47,898,5689283,15.8
2000,Texas,48,2168,20851820,10.4
2000,Utah,49,193,2233169,8.6
2000,Vermont,50,55,608827,9
2000,Virginia,51,794,7078515,11.2
2000,Washington,53,523,5894121,8.9
2000,West Virginia,54,242,1808344,13.4
2000,Wisconsin,55,432,5363675,8.1
2000,Wyoming,56,58,493782,11.7
2001,Alabama,01,737,4467634,16.5
2001,Alaska,02,95,633714,15
2001,Arizona,04,842,5273477,16
2001,Arkansas,05,412,2691571,15.3
2001,California,06,3200,34479458,9.3
2001,Colorado,08,510,4425687,11.5
2001,Connecticut,09,191,3432835,5.6
2001,Delaware,10,76,795699,9.6
2001,District of Columbia,11,169,574504,29.4
2001,Florida,12,1816,16356966,11.1
2001,Georgia,13,1124,8377038,13.4
2001,Hawaii,15,47,1225948,3.8
2001,Idaho,16,175,1319962,13.3
2001,Illinois,17,1289,12488445,10.3
2001,Indiana,18,729,6127760,11.9
2001,Iowa,19,191,2931997,6.5
2001,Kansas,20,267,2702162,9.9
2001,Kentucky,21,524,4068132,12.9
2001,Louisiana,22,781,4477875,17.4
2001,Maine,23,98,1285692,7.6
2001,Maryland,24,607,5374691,11.3
2001,Massachusetts,25,194,6397634,3
2001,Michigan,26,1077,9991120,10.8
2001,Minnesota,27,324,4982796,6.5
2001,Mississippi,28,502,2852994,17.6
2001,Missouri,29,744,5641142,13.2
2001,Montana,30,160,906961,17.6
2001,Nebraska,31,140,1719836,8.1
2001,Nevada,32,345,2098399,16.4
2001,New Hampshire,33,91,1255517,7.2
2001,New Jersey,34,370,8492671,4.4
2001,New Mexico,35,274,1831690,15
2001,New York,36,1068,19082838,5.6
2001,North Carolina,37,1093,8210122,13.3
2001,North Dakota,38,47,639062,7.4
2001,Ohio,39,1029,11387404,9
2001,Oklahoma,40,489,3467100,14.1
2001,Oregon,41,358,3467937,10.3
2001,Pennsylvania,42,1172,12298970,9.5
2001,Rhode Island,44,46,1057142,4.4
2001,South Carolina,45,564,4064995,13.9
2001,South Dakota,46,54,757972,7.1
2001,Tennessee,47,845,5750789,14.7
2001,Texas,48,2350,21319622,11
2001,Utah,49,229,2283715,10
2001,Vermont,50,51,612223,8.3
2001,Virginia,51,771,7198362,10.7
2001,Washington,53,510,5985722,8.5
2001,West Virginia,54,251,1801481,13.9
2001,Wisconsin,55,475,5406835,8.8
2001,Wyoming,56,70,494657,14.2
2002,Alabama,01,724,4480089,16.2
2002,Alaska,02,127,642337,19.8
2002,Arizona,04,968,5396255,17.9
2002,Arkansas,05,441,2705927,16.3
2002,California,06,3410,34871843,9.8
2002,Colorado,08,517,4490406,11.5
2002,Connecticut,09,147,3458749,4.3
2002,Delaware,10,74,806169,9.2
2002,District of Columbia,11,195,573158,34
2002,Florida,12,1886,16689370,11.3
2002,Georgia,13,1133,8508256,13.3
2002,Hawaii,15,36,1239613,2.9
2002,Idaho,16,163,1340372,12.2
2002,Illinois,17,1231,12525556,9.8
2002,Indiana,18,723,6155967,11.7
2002,Iowa,19,201,2934234,6.9
2002,Kansas,20,268,2713535,9.9
